snapshot,epiglotis_mean_Pa,epiglotis_max_Pa,epiglotis_min_Pa,glotis_mean_Pa,glotis_max_Pa,glotis_min_Pa,larynx_mean_Pa,larynx_max_Pa,larynx_min_Pa,mouth_region_mean_Pa,mouth_region_max_Pa,mouth_region_min_Pa,upper_trachea_bottom_mean_Pa,upper_trachea_bottom_max_Pa,upper_trachea_bottom_min_Pa,upper_trachea_middle_mean_Pa,upper_trachea_middle_max_Pa,upper_trachea_middle_min_Pa,upper_trachea_top_mean_Pa,upper_trachea_top_max_Pa,upper_trachea_top_min_Pa,gl_mean_Pa,gl_max_Pa,gl_min_Pa,gr_mean_Pa,gr_max_Pa,gr_min_Pa,glr_mean_Pa,glr_max_Pa,glr_min_Pa,grr_mean_Pa,grr_max_Pa,grr_min_Pa,global_mean_Pa,global_max_Pa,global_min_Pa
snapshot28,0.03,0.22,-0.27,0.07,0.31,-0.29,0.05,0.33,-0.31,0.07,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.29,0.06,0.31,-0.3,0.06,0.38,-0.35
snapshot29,0.03,0.21,-0.26,0.08,0.32,-0.28,0.06,0.34,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.32,-0.28,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot30,0.03,0.22,-0.27,0.08,0.33,-0.28,0.06,0.34,-0.31,0.08,0.36,-0.3,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.33,-0.3,0.06,0.4,-0.33
snapshot31,0.03,0.22,-0.26,0.07,0.32,-0.28,0.05,0.33,-0.31,0.08,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.29,0.06,0.31,-0.3,0.06,0.38,-0.35
snapshot32,0.03,0.22,-0.27,0.07,0.32,-0.28,0.05,0.33,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.29,-0.26,0.07,0.3,-0.28,0.07,0.32,-0.28,0.07,0.31,-0.3,0.06,0.38,-0.34
snapshot33,0.03,0.22,-0.27,0.08,0.33,-0.29,0.06,0.34,-0.32,0.08,0.36,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.33,-0.3,0.06,0.39,-0.35
snapshot34,0.03,0.22,-0.26,0.08,0.32,-0.29,0.05,0.34,-0.32,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.07,0.32,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot35,0.03,0.22,-0.27,0.07,0.32,-0.29,0.05,0.33,-0.31,0.08,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.29,0.06,0.31,-0.3,0.06,0.38,-0.35
snapshot36,0.03,0.22,-0.27,0.07,0.32,-0.28,0.05,0.33,-0.32,0.08,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.32,-0.29,0.06,0.31,-0.3,0.06,0.38,-0.34
snapshot37,0.03,0.22,-0.27,0.07,0.31,-0.29,0.05,0.33,-0.31,0.07,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.32,-0.29,0.06,0.31,-0.3,0.06,0.38,-0.35
snapshot38,0.03,0.22,-0.27,0.08,0.33,-0.28,0.06,0.34,-0.31,0.08,0.36,-0.3,0.03,0.22,-0.27,0.03,0.22,-0.27,0.03,0.22,-0.27,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.28,0.07,0.33,-0.3,0.06,0.4,-0.34
snapshot39,0.03,0.21,-0.26,0.08,0.32,-0.28,0.05,0.34,-0.31,0.08,0.35,-0.3,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.07,0.32,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.33
snapshot40,0.03,0.22,-0.26,0.07,0.31,-0.28,0.05,0.33,-0.31,0.08,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.29,0.06,0.31,-0.3,0.06,0.38,-0.34
snapshot41,0.03,0.21,-0.27,0.08,0.33,-0.28,0.06,0.34,-0.31,0.08,0.36,-0.3,0.03,0.21,-0.28,0.03,0.21,-0.28,0.03,0.21,-0.28,0.08,0.29,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.28,0.07,0.32,-0.29,0.06,0.4,-0.33
snapshot42,0.03,0.21,-0.26,0.08,0.32,-0.28,0.06,0.34,-0.31,0.08,0.35,-0.3,0.03,0.21,-0.27,0.03,0.21,-0.27,0.03,0.21,-0.27,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.32,-0.28,0.07,0.32,-0.29,0.06,0.39,-0.33
snapshot43,0.03,0.22,-0.27,0.07,0.31,-0.29,0.05,0.32,-0.32,0.07,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.29,0.06,0.31,-0.3,0.06,0.37,-0.35
snapshot44,0.03,0.22,-0.27,0.08,0.33,-0.28,0.06,0.35,-0.31,0.08,0.36,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.28,0.07,0.33,-0.3,0.06,0.4,-0.34
snapshot45,0.03,0.21,-0.26,0.08,0.32,-0.28,0.06,0.34,-0.31,0.08,0.35,-0.3,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.32,-0.28,0.07,0.32,-0.3,0.06,0.39,-0.33
snapshot46,0.03,0.22,-0.26,0.08,0.33,-0.28,0.06,0.34,-0.32,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.33,-0.3,0.06,0.39,-0.34
snapshot47,0.03,0.22,-0.27,0.07,0.32,-0.28,0.05,0.33,-0.32,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.32,-0.29,0.06,0.31,-0.3,0.06,0.39,-0.34
snapshot48,0.03,0.21,-0.26,0.08,0.33,-0.28,0.05,0.34,-0.32,0.08,0.36,-0.31,0.03,0.21,-0.28,0.03,0.21,-0.28,0.03,0.21,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot49,0.03,0.21,-0.26,0.08,0.33,-0.28,0.05,0.34,-0.31,0.08,0.35,-0.31,0.03,0.21,-0.28,0.03,0.21,-0.28,0.03,0.21,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot50,0.03,0.22,-0.27,0.07,0.32,-0.28,0.05,0.33,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.28,0.07,0.32,-0.3,0.06,0.38,-0.34
snapshot51,0.03,0.21,-0.26,0.08,0.32,-0.28,0.05,0.34,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.31,-0.28,0.08,0.32,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.35
snapshot52,0.03,0.21,-0.26,0.08,0.32,-0.28,0.05,0.33,-0.31,0.08,0.35,-0.31,0.03,0.21,-0.27,0.03,0.21,-0.27,0.03,0.21,-0.27,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.32,-0.28,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot53,0.03,0.22,-0.27,0.08,0.33,-0.28,0.05,0.34,-0.32,0.08,0.36,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot54,0.03,0.21,-0.26,0.08,0.32,-0.28,0.05,0.33,-0.32,0.08,0.35,-0.31,0.03,0.21,-0.27,0.03,0.21,-0.27,0.03,0.21,-0.27,0.07,0.28,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.28,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot55,0.03,0.22,-0.27,0.07,0.32,-0.28,0.05,0.33,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.28,0.07,0.31,-0.3,0.06,0.39,-0.34
snapshot56,0.03,0.22,-0.26,0.08,0.33,-0.28,0.06,0.34,-0.32,0.08,0.36,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.33,-0.3,0.06,0.39,-0.34
snapshot57,0.03,0.22,-0.27,0.07,0.32,-0.29,0.05,0.33,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.35
snapshot58,0.03,0.22,-0.27,0.08,0.32,-0.29,0.05,0.34,-0.32,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot59,0.03,0.22,-0.27,0.08,0.32,-0.29,0.05,0.34,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.29,0.07,0.32,-0.3,0.06,0.4,-0.34
snapshot60,0.03,0.21,-0.26,0.08,0.34,-0.28,0.06,0.35,-0.31,0.08,0.37,-0.3,0.03,0.21,-0.27,0.03,0.21,-0.27,0.03,0.21,-0.27,0.08,0.3,-0.26,0.08,0.33,-0.27,0.08,0.34,-0.28,0.07,0.34,-0.29,0.07,0.41,-0.33
snapshot61,0.03,0.22,-0.27,0.08,0.33,-0.28,0.06,0.35,-0.31,0.08,0.36,-0.3,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.34,-0.28,0.07,0.33,-0.3,0.07,0.41,-0.33
snapshot62,0.03,0.21,-0.26,0.07,0.32,-0.28,0.05,0.33,-0.31,0.08,0.35,-0.31,0.03,0.21,-0.28,0.03,0.21,-0.28,0.03,0.21,-0.28,0.07,0.28,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot63,0.03,0.22,-0.27,0.07,0.31,-0.28,0.05,0.32,-0.31,0.07,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.28,0.06,0.31,-0.3,0.06,0.38,-0.34
snapshot64,0.03,0.21,-0.26,0.08,0.32,-0.28,0.06,0.34,-0.31,0.08,0.35,-0.3,0.03,0.21,-0.28,0.03,0.21,-0.28,0.03,0.21,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.33,-0.28,0.07,0.32,-0.3,0.06,0.4,-0.33
snapshot65,0.03,0.22,-0.27,0.08,0.33,-0.28,0.06,0.35,-0.31,0.08,0.37,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.34,-0.28,0.07,0.33,-0.3,0.06,0.41,-0.34
snapshot66,0.03,0.21,-0.26,0.07,0.31,-0.29,0.05,0.32,-0.32,0.07,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.29,0.06,0.31,-0.3,0.06,0.37,-0.34
snapshot67,0.03,0.22,-0.27,0.08,0.32,-0.29,0.05,0.34,-0.32,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.33,-0.29,0.07,0.32,-0.3,0.06,0.39,-0.34
snapshot68,0.03,0.22,-0.27,0.08,0.33,-0.28,0.06,0.35,-0.31,0.08,0.37,-0.3,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.27,0.08,0.34,-0.28,0.07,0.33,-0.29,0.07,0.41,-0.33
snapshot69,0.03,0.22,-0.27,0.07,0.32,-0.29,0.05,0.33,-0.32,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.07,0.31,-0.28,0.07,0.32,-0.29,0.06,0.32,-0.3,0.06,0.38,-0.34
snapshot70,0.03,0.22,-0.26,0.08,0.32,-0.28,0.05,0.33,-0.31,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.07,0.32,-0.29,0.07,0.31,-0.3,0.06,0.39,-0.34
snapshot71,0.03,0.21,-0.27,0.07,0.31,-0.28,0.05,0.33,-0.32,0.08,0.34,-0.31,0.03,0.22,-0.27,0.03,0.22,-0.27,0.03,0.22,-0.27,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.29,0.06,0.31,-0.3,0.06,0.38,-0.34
snapshot72,0.03,0.22,-0.27,0.08,0.33,-0.29,0.06,0.35,-0.32,0.08,0.36,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.28,0.08,0.33,-0.29,0.07,0.33,-0.3,0.06,0.4,-0.35
snapshot73,0.03,0.21,-0.26,0.08,0.33,-0.28,0.06,0.34,-0.31,0.08,0.36,-0.31,0.03,0.22,-0.27,0.03,0.22,-0.27,0.03,0.22,-0.27,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.33,-0.28,0.07,0.32,-0.3,0.06,0.4,-0.34
snapshot74,0.03,0.21,-0.26,0.08,0.33,-0.28,0.06,0.35,-0.31,0.09,0.37,-0.3,0.03,0.21,-0.28,0.03,0.21,-0.28,0.03,0.21,-0.28,0.08,0.3,-0.26,0.08,0.32,-0.27,0.08,0.34,-0.28,0.07,0.33,-0.29,0.07,0.41,-0.33
snapshot75,0.03,0.22,-0.27,0.08,0.32,-0.28,0.06,0.34,-0.31,0.08,0.35,-0.3,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.32,-0.28,0.07,0.32,-0.29,0.06,0.39,-0.34
snapshot76,0.03,0.22,-0.27,0.07,0.31,-0.29,0.05,0.32,-0.31,0.07,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.29,0.06,0.3,-0.3,0.06,0.38,-0.35
snapshot77,0.03,0.22,-0.27,0.07,0.31,-0.29,0.05,0.32,-0.32,0.07,0.34,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.07,0.28,-0.26,0.07,0.3,-0.28,0.07,0.31,-0.29,0.06,0.31,-0.3,0.06,0.37,-0.35
snapshot78,0.03,0.22,-0.27,0.08,0.32,-0.28,0.05,0.33,-0.32,0.08,0.35,-0.31,0.03,0.22,-0.28,0.03,0.22,-0.28,0.03,0.22,-0.28,0.08,0.29,-0.26,0.08,0.31,-0.28,0.08,0.32,-0.28,0.07,0.32,-0.3,0.06,0.39,-0.34
